,lgb_gain,lgb_split,xgb_weight,xgb_gain,xgb_cover,perm_lgb,perm_xgb,shap_lgb,shap_xgb,composite_score,final_rank
CMV_7_market_depth_vol,65.58828010559083,3.2,6.6,6.717656517028809,1179.3808837890624,0.0001927004891875228,-0.0006493199414164509,0.03844715156297029,0.02026229,0.0031128003365139914,130.0
CMV_9,35.942739486694336,1.4,2.8,3.9892147064208983,658.714306640625,0.00010336702019618117,-0.00011691512237373303,0.02907156068078261,0.046798516,0.0028114599028384573,131.0
CMV_9_market_depth_vol,22.611980056762697,1.0,2.0,3.8191459655761717,1341.22001953125,-1.6682145501079047e-05,-0.00030637115702557337,0.024502319142213826,0.041033946,0.00277808168495521,132.0
reference_price_near_price_imb,34.63038024902344,0.8,1.0,6.825712585449219,4189.3,-2.557953567475124e-05,2.4643735407323672e-05,0.0,0.0,0.002770737015325079,133.0
reference_price_minus_near_price,88.75185203552246,3.8,7.2,11.551806831359864,1099.545083618164,9.582863518229346e-05,6.54043279758554e-05,0.01135198137785334,0.0022356953,0.0026839210508939155,134.0
reference_price_minus_far_price,57.982273769378665,3.4,9.8,11.561139106750488,1143.3710052490235,-0.0002712129142170383,-4.18119752815116e-05,0.0011498123168933356,0.0068548624,0.0025936244465287806,135.0
CMV_9_best_bid_size,10.92234001159668,0.4,0.4,6.478990936279297,541.0,-9.717860692298076e-05,8.86506916513241e-05,0.009616456237862945,0.045141023,0.0024434020653642296,136.0
CMV_9_ask_size,23.568099975585938,1.0,2.6,3.956575393676758,971.43076171875,0.000146234076598013,6.62725945930731e-05,0.038848955420547365,0.013827404,0.002335818400971605,137.0
far_price_wap_imb,28.094869804382324,1.6,0.6,7.943292427062988,2412.9,-7.355070182867962e-05,-5.103657662917982e-05,0.005827785193126587,0.0,0.002305344701007124,138.0
imb_s1,1026.5357622146607,4.8,0.0,0.0,0.0,0.0025832303315861792,0.0,0.0,0.0,0.0015390054810508133,139.0
reference_price_far_price_imb,62.47462558746338,2.0,0.6,4.482965660095215,1560.4,-0.0001112339841213128,9.254596438847074e-05,0.0,0.0,0.0014908759430238637,140.0
imb_s2,266.5020210266113,10.4,0.0,0.0,0.0,0.0017313178943123473,0.0,0.006756709339142891,0.0,0.0011186971619628985,141.0
CMV_7_best_ask_size,24.51016025543213,0.8,0.2,3.365306091308594,104.6,3.9039605919732875e-05,0.0,0.016802005576474734,0.0,0.001024357875124982,142.0
market_depth_vol,10.212360000610351,0.4,0.4,2.192708969116211,880.8,-5.39206966265482e-05,-5.90648724065801e-05,0.0,0.0014134194,0.0008471233678767305,143.0
imbalance_buy_flag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016359023284608218,147.5
imbalance_sell_flag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016359023284608218,147.5
last_5min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016359023284608218,147.5
first_5min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016359023284608218,147.5
high_volume,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016359023284608218,147.5
low_volume_matched_size,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016359023284608218,147.5
high_volume_imbalance_size,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016359023284608218,147.5
far_mid_val,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016359023284608218,147.5
